task_id,module,owner,status,depends_on,dod,test_command,artifact_path
"INFRA-001","INFRA","unassigned","done","none","明确给出单日容量与扩容阈值。","rg -n QPS|TPS|容量|扩容|拓扑 docs/execution-plans/implementation/infra-topology-and-capacity.md","infra topology & capacity doc"
"INFRA-002","INFRA","unassigned","done","INFRA-001","一条命令可启动基础依赖并健康检查通过。","docker compose -f infra/docker-compose.mediation.yml up -d ; docker compose -f infra/docker-compose.mediation.yml ps","infra compose baseline"
"INFRA-003","INFRA","unassigned","done","INFRA-002","新库可一键迁移到最新版本。","npm --prefix ./projects/tappy-ai-mediation run db:migrate","migration baseline"
"INFRA-004","INFRA","unassigned","done","INFRA-002","不同模块不会产生键冲突。","rg -n idempotency|dedup|cache|circuit docs/execution-plans/implementation/redis-keyspace-policy.md","redis keyspace policy"
"INFRA-005","INFRA","unassigned","done","INFRA-002","任一消息链路均可追踪重试与最终落点。","rg -n DLQ|retry|backoff|consumer group|topic docs/execution-plans/implementation/mq-topology-and-retry-policy.md","MQ policy baseline"
"INFRA-006","INFRA","unassigned","done","INFRA-001","未授权请求可稳定拒绝并审计。","npm --prefix ./projects/tappy-ai-mediation run test:integration -- auth","security baseline"
"INFRA-007","INFRA","unassigned","done","INFRA-001","核心链路指标可被查询且有告警策略。","npm --prefix ./projects/tappy-ai-mediation run test:integration -- observability","observability baseline"
"INFRA-008","INFRA","unassigned","done","INFRA-003|INFRA-007","有可执行回滚演练记录模板。","CI dry-run / release checklist 演练","release/rollback baseline"
"INFRA-009","INFRA","unassigned","done","INFRA-003|G-002","差异可定位到 recordKey 与版本锚点。","npm --prefix ./projects/tappy-ai-mediation run test:integration -- reconcile","reconciliation baseline"
"INFRA-010","INFRA","unassigned","done","INFRA-001~INFRA-009","任一阻断项失败即 No-Go。","rg -n Go|No-Go|阻断|必须全部满足 docs/execution-plans/implementation/go-no-go-checklist.md","go/no-go checklist"
"FND-001","FND","unassigned","done","none","A-H 全覆盖，无空节。 | 可被后续任务直接引用。","rg -n Module A|Module H|输入合同|输出合同|原因码|版本锚点 docs/execution-plans/implementation/contract-catalog.md","contract-catalog.md"
"FND-002","FND","unassigned","done","FND-001","至少覆盖 src/connectors、src/offers、src/runtime、src/devtools/mediation、src/providers/intent*、src/providers/ner。","rg -n 可复用|迁出主链|tooling|Module D|Module B docs/execution-plans/implementation/legacy-to-mediation-mapping.md","legacy-to-mediation-mapping.md"
"FND-003","FND","unassigned","done","FND-001|FND-002","每个任务一行，依赖关系可追踪。","head -n 5 docs/execution-plans/implementation/task-board-seed.csv ; wc -l docs/execution-plans/implementation/task-board-seed.csv","task-board-seed.csv"
"FND-004","FND","unassigned","todo","FND-001","npm --prefix ./projects/tappy-ai-mediation run test:functional:p0 可运行。","npm --prefix ./projects/tappy-ai-mediation run test:functional:p0","测试命令基线"
"FND-005","FND","unassigned","todo","FND-004","基础合同测试可复用到 A-H。","npm --prefix ./projects/tappy-ai-mediation run test:contracts","contract-runner"
"FND-006","FND","unassigned","todo","FND-004","E2E 套件可运行并有明确 fail 条件。","npm --prefix ./projects/tappy-ai-mediation run test:e2e","minimal e2e baseline"
"H-001","H","unassigned","todo","FND-005","缺失/非法值有稳定动作与原因码。","npm --prefix ./projects/tappy-ai-mediation run test:integration -- h-config-resolution","配置解析模块"
"H-002","H","unassigned","todo","H-001","304 命中和过期失败路径均可测试。","npm --prefix ./projects/tappy-ai-mediation run test:integration -- h-get-config","GET /config API"
"H-003","H","unassigned","todo","H-001","duplicate 与 payload conflict 可区分。","npm --prefix ./projects/tappy-ai-mediation run test:integration -- h-publish","publish API + 状态机"
"H-004","H","unassigned","todo","H-002|H-003","同请求同版本下门禁动作确定性一致。","npm --prefix ./projects/tappy-ai-mediation run test:integration -- h-version-gate","version gate + anchor injector"
"H-005","H","unassigned","todo","H-004","force_fallback 语义、原因码、审计快照齐全。","npm --prefix ./projects/tappy-ai-mediation run test:integration -- h-rollout","灰度与失效治理模块"
"A-001","A","unassigned","todo","H-004","合同校验失败返回稳定 reason code。","npm --prefix ./projects/tappy-ai-mediation run test:contracts -- a-trigger","trigger handler"
"A-002","A","unassigned","todo","A-001","trace 初始化与继承一致。","npm --prefix ./projects/tappy-ai-mediation run test:integration -- a-create-opportunity","createOpportunity service"
"A-003","A","unassigned","todo","A-002","duplicate 不重复发送；重发复用同键。","npm --prefix ./projects/tappy-ai-mediation run test:integration -- a-opportunity-event","A event emitter"
"B-001","B","unassigned","todo","A-003","字段缺失/非法有稳定动作与原因码。","npm --prefix ./projects/tappy-ai-mediation run test:contracts -- b-input","B input normalizer"
"B-002","B","unassigned","todo","B-001","同输入多次运行结果一致。","npm --prefix ./projects/tappy-ai-mediation run test:integration -- b-conflict","conflict resolver"
"B-003","B","unassigned","todo","B-002","三个快照：projection/redaction/bucket 均可输出。","npm --prefix ./projects/tappy-ai-mediation run test:integration -- b-projection","B advanced pipeline"
"B-004","B","unassigned","todo","B-003","sampled_out 不发送；sampled_in 可追踪 ACK。","npm --prefix ./projects/tappy-ai-mediation run test:integration -- b-signal-event","B signal event emitter"
"C-001","C","unassigned","todo","B-004","short_circuit_block/allow 行为稳定。","npm --prefix ./projects/tappy-ai-mediation run test:integration -- c-short-circuit","policy engine core"
"C-002","C","unassigned","todo","C-001","C->D/E 出口字段完整可消费。","npm --prefix ./projects/tappy-ai-mediation run test:contracts -- c-output","C output + audit module"
"D-001","D","unassigned","todo","C-002","adapter 启停与能力声明可测试。","npm --prefix ./projects/tappy-ai-mediation run test:integration -- d-adapter-registry","adapter registry"
"D-002","D","unassigned","todo","D-001","routePlan 可确定性复现。","npm --prefix ./projects/tappy-ai-mediation run test:integration -- d-route-plan","route planner"
"D-003","D","unassigned","todo","D-002","E 可以无推断消费 D 输出。","npm --prefix ./projects/tappy-ai-mediation run test:contracts -- d-output","D output + route audit"
"E-001","E","unassigned","todo","D-003","合同错误返回稳定 reason code。","npm --prefix ./projects/tappy-ai-mediation run test:contracts -- e-compose","compose module"
"E-002","E","unassigned","todo","E-001","no_fill/error 判定一致且可审计。","npm --prefix ./projects/tappy-ai-mediation run test:integration -- e-gate","render gate + degrade engine"
"E-003","E","unassigned","todo","E-002","routed -> served/no_fill/error 一致。","npm --prefix ./projects/tappy-ai-mediation run test:integration -- e-output","final delivery/output module"
"F-001","F","unassigned","todo","E-003","错误事件不影响合法事件 ACK 返回。","npm --prefix ./projects/tappy-ai-mediation run test:integration -- f-events-api","events API"
"F-002","F","unassigned","todo","F-001","闭环状态可重放验证。","npm --prefix ./projects/tappy-ai-mediation run test:integration -- f-closure","dedup + closure engine"
"F-003","F","unassigned","todo","F-002","单尝试唯一计费、recordKey 幂等语义成立。","npm --prefix ./projects/tappy-ai-mediation run test:integration -- f-output","F output contract module"
"G-001","G","unassigned","todo","F-003","duplicate no-op 与 payload conflict 可区分。","npm --prefix ./projects/tappy-ai-mediation run test:integration -- g-append","append API"
"G-002","G","unassigned","todo","G-001","同锚点回放 diff 为 0。","npm --prefix ./projects/tappy-ai-mediation run test:e2e -- g-replay-determinism","replay API + engine"
"QA-001","QA","unassigned","todo","H-005|A-003|B-004|C-002|D-003|E-003|F-003|G-002","所有矩阵 case 明确 PASS/FAIL。","npm --prefix ./projects/tappy-ai-mediation run test:functional:p0","tests/p0-matrix-report.json"
"QA-002","QA","unassigned","todo","QA-001","8 场景全部可复现执行。","npm --prefix ./projects/tappy-ai-mediation run test:e2e","tests/e2e-report.json"
"QA-003","QA","unassigned","todo","QA-001|QA-002","任一任务失败即 CI fail。","本地 dry-run 或 CI 试跑记录","CI gate pipeline"
